symbol,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HBS,,1.25,0.35,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL,,1.2,0.12,0.1,0.1,0.08,0.08,0.07,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMB,,9.5,6.5,4.5,7.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6,7,7,7,7,5,4.5,6,5,5,4.5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFCC,,6,5,2,3,3,3,3.5,5,4.5,8.5,5.5,5,4,10,6,5,5,5,6,5.5,5.5,5.5,5,4.5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DVBD,,0,0,0,0,0,0,0,0,0,0,0.9,0.5,0.5,0.4,0.3,0.3,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNB,,15,8,5,9,8,8,8.5,8.5,8.5,8.5,8.5,8.5,8.5,7.5,7,6.5,4,3.5,5,4,3.5,4,3,1.5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFC,,,0,0,0,0.25,0,0,0,0,0.75,0.6,0.25,0,0,5,5,0,5,10,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDB,,8,5,2.5,5.5,1.5,7,8,9,8,11,11,10,15,7.5,8.5,8,6.75,6,5,4,6,5.75,5.75,5.5,8.5,4.5,4.5,6.5,6.5,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTB,,6.5,5,4,3.5,2,2.3,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2,1.5,1.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PABC,,1,0.25,0,0,0,0,0,0,0,0.5,0,0,1,1,0,0,0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMP,,9.35,5.85,4.6,4.25,8.25,11.75,16.25,17.2,18.75,12,12,8,12,9,8.09,6.25,4,3,2.5,2,2,2,2,1.75,1.75,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDB,,0,0,0,1.5,2.25,7,0,6,7.5,8.5,10,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEYB,,3.5,2.5,2,3,1.5,2,2.5,3.5,3.25,2.75,2.5,2.25,2,1,1,0.5,0,1.5,1.5,2,1.6,1.5,1.5,1.25,1.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UBC,,0,0,0,0,0.13,0.14,0,0.1,0.1,0.04,0,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFSL,,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLI,8,8.4,5,14.5,5.5,0,1,6.4,5.9,53,23,20,40,45,27.5,3.5,3.5,4,3.5,5,3,2.5,1.25,1.75,1.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMCL,,0,0,0,0,0,0,0,1.65,2.31,1.05,0.85,0.55,0.6,0.65,1.5,0.59,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARPI,,0,0,0,0,0,6.25,5.28,0,4.5,3.75,2.5,2,2,2,1.5,1.5,3,2.5,3,2,1.5,0,1.5,1,0.5,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAF,,0.7,0.7,0.7,0,0,0,0,0.07,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAP,,0,0,0,0,0,0,0,0,0,0,0,0,6.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMF,,0,0,0,0,0,0,0,12.5,15,12,10,10,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLI,,0,0,0,0,0,0,0,1,1.5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALT,,25.5,3.04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIFL,,0,0,0,0,0,0,0.04,0,0,0,0,0,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDIC,,0,0,0,0,0,0,0,0,0,0,0,8.5,16.4,1.25,4.1,2.25,3.13,2.85,1.2,10.7,0.7,2.25,0,1.8,2.5,1.2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFIN,6.5,4.5,4.25,3.5,3.5,2.4,3.6,4,2.35,4,3.5,3.2,2.9,2.5,10.5,6,5,4.5,4.5,3.5,2.85,4,3,1.75,1.5,3.5,3.6,3.2,4.5,4,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFL,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFL,,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDB,15,7,5,3.75,7.5,0,5,5,3.5,3,3.5,3,2.75,2.5,2,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCR,,4,1,3,1.5,0,1,0.75,1.5,1,1.5,0.5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESL,,0,0,0,0,0,0,0,0,0,0,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFVF,7.5,"17,25",2.25,0,5,9,0,2,2,0,4,2,2,2,0,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCT,2.6,14.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCBF,,0,0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOFC,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOLC,,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,2.8,2.25,1.5,3,2.3,1.95,3.25,3.25,3,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVEN,,0,0,0,1.5,1.5,2.75,2.75,2.5,2,1.75,1.5,1,1.5,1.5,1.5,0,1.5,1.5,1.5,1.5,2.75,1,1,0.75,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LFIN,6.5,5.75,5,5,4,12,12,11,9,7.5,10,6.5,6.5,5,3.5,5,3,2.25,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERC,25,20,0,115,0,0,20,15,0,7,19.5,20,27.5,22,10,4.6,3.25,4.8,20,10,14,5,6.25,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBSL,,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1.25,1.25,0.75,1,1,1,0.75,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MFL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORIN,,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFN,,0,0,0,0,0,0,0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.85,0.75,0.6,0,0,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMLL,,0,0,0,0,0,0,0,0,0,0,0,4.75,1.25,0.5,0,0,0,1,0.5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLC,1.4,1.4,0,1,1.35,0.7,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMB,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,1.25,2,2,1.5,0.6,0.4,0.32,0.4,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDF,,0.65,0.75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFCL,,1.8,0.65,1.4,1.16,0,2.15,3.4,3.05,2.6,2.15,2.59,3.24,2.38,0.81,0.68,1.51,3.27,3.86,1.23,3.7,2,2.5,2.5,1.25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFIN,,0,0.8,0.8,0.8,0,1.1,0.97,1.06,1.5,1.25,0.65,0.65,0.8,0.4,0.25,0.25,0.38,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFL,,0,0,0,0,0,0,0,0,0,0,0,0,2,0.75,0.4,0.5,0,2.62,2.03,2.5,2,1.5,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMB,,0,0,0,0,0,0,0,0.02,0,0.02,0,0,0,0,0,0,0,0,0.2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRL,,0,0,0,0,0,0,0,1.65,1.25,1.5,1.75,1.5,1.5,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCAP,,0,0,0,0,0,0,0.4,0.5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFS,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,1.8,1.8,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFIL,,0,0,0,0,0,0,3,2,4,0,1,0.91,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFIN,,2,1,2,6,0,4,3.5,3,2.5,2,1,1.5,1,0.5,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AINS,,0,0,0,0,0,0,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAIC,,4.5,3.75,3.5,2.8,2.5,0,1.45,0,2.6933,5,5,4.8,0,2,3,1.3,1.25,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTCE,,0,0,0,0,0,0,25,91,50,49.5,7.07,2,2.5,9,9,12.5,3,9.5,8.25,4.17,5.34,7.83,4,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CINS,,51,48,45,42,40,38,35,31.5,27.5,22.5,20,16,12.5,6.5,5.5,5,3,3,2.5,2.7,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOP,0.1,0,0,0,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HASU,,3.9,3.9,3.65,3.2,2.8,8,7,6,5,2,3.75,3.25,2.75,2.1,1.8,1.5,1.25,1,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JINS,,,13.24,2.65,2.3,2,0,0,0,1,0.75,1,2,1,1,1,2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PINS,,0,0,1,1.5,3,1.85,1.85,2,1.75,0.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAL,,5,8.75,0,22,14,20,20,18,10.5,8.5,6.5,6,5,5,6.25,5,3.25,2.75,2,5,0,2,1.5,2.8,2.4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFL,2.5,5.8,4,9,3,0,8,6,7.5,6,2.5,1.25,1.5,4,4,1.5,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARG,16.5,15,12,7,6,5.1,6,6,5.6,3.5,2,2,2,2,1.5,1.1,0.5,15.5,12,10.6,6,3,0,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREW,50.35,81.24,52.75,31.23,13.7,10,7,7,1,3,8,7,7,6,4,3,3,3,4,3,4,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS,5.395,2.316,1.3,1.13,21,12,15,15,32,18,11,4,4,4,4,4,1,3.2,2.4,0.8,0,2.4,1.6,2.72,5.66,5.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTEA,,18,50,55,18,25,35,45,15,30,22.5,22.5,40,30,35,30,25,22.5,15,15,15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTC,32,168.24,147.64,109.3,53,82.85,92.13,90.77,67.8,66.8,45.15,39.5,48.75,43.15,34.6,27.17,21.9,14.68,9.6,7.4,6.4,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCO,,0,0.41,0.41,0,0.35,0,0,0.35,0.35,0.35,0.3,0.3,1,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOY,,4.7,4.7,3.5,10,5.5,4.5,5,4,4,5.5,3,1.5,1,2.5,2.25,2.25,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIST,2,2.83,3.95,1.56,1.12,1.2,0.8,0.67,1.75,3.35,3.25,3.25,3,3,3,2.5,2.25,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARI,40,80,40,55,50,50,50,45,42,85,80,65,45,40,30,28,25,22,15,20,10,6,5.5,5.5,5.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVA,,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFP,3.6,0,2,7.5,9.5,4,6,7,11.75,12,10,2,2,2,0,2.5,3.5,2.5,0,2,0,0,0,0,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAMB,,0,0,0,0,0,0,16,13.1,0.2,0,0,0,0,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMF,0.63,0.63,5,7.5,5,2.5,1.25,2.5,2.5,1.25,1.25,0,1.5,1,0,1.5,0,1.2,1,1,0,0.6,1.5,1,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCPL,,2,1.5,2.5,2.25,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEST,,0,0,120,55,55,47.5,50,50,80,64.5,68.5,60,54,47.5,34.5,30,30,25,25,22,8.5,8.9,3.25,1.8,8.5,9.2,7.5,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWSL,,0.15,0.2,0.15,0.1,0.1,0.05,0.1,0.15,0.1,0,0.1,0,0,0.12,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAL,,0,0.1,0.2,0,0.12,0.12,0,0.12,0.12,0.12,0.1,0.1,0.14,0.1,0.1,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSML,0.21,0,6.67,1,1.5,0,1.7,2,1.7,0.5,0.5,1,1,1,8,9,8,6.5,6,4.5,6.5,2.5,1,2.5,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LION,46,43.5,41.9,20.93,14.4,8,10,4,0,3,4,4,4,4,4,3,0,0,3,3,3,3,0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAFL,,55,28,0,10,22,5.5,4.5,3,4,2.1,0.52,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHMX,7.5,2.5,2.5,2,1,2,2,2,3,2,1,1,1,1.5,2,2.5,10,1.67,1.33,1.17,1.17,3,2.6,2.5,2.5,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIC,2.5,2.5,2.5,2,1,2,1,1,2,4,3,0,1.63,3.2,2.75,1.85,1.5,1.5,1.44,4.75,4.75,4.75,4.25,4,4,3.75,3.5,2.5,4,4,4,4,3.5,4,3.25,3,2.5,2.75,2.5,2.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,2,2,2,2,2
HAYC,3.8,5,6.25,2.7,24.9,15,8,6,6,6,6,6,7,5.5,5,5,2.75,2.5,1,0,1.5,1.5,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASPH,,0,0,0,0,0,4.5,4.5,0,0,4.5,3,2,3,3,2.5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORI,,0,0,0,0,0,0,15,15,10,4,3,2,3.5,40,16.5,11,10.4,8,6,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCEY,,0,10,0,0,0,0,0,0,0,0,0,1.5,2.5,2.5,2.25,2,1.8,1.5,1.5,1.5,1.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITE,1.5,1.5,2,0.75,1,1,0.25,0.77,0.77,0.55,0.25,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MULL,,0,0,0,0,0,0,0.05,0.07,0.07,0.07,0.05,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCP,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SING,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCAR,,63,45,32,25,29,21,13,13,19,17,14,11,11,11,11,10,8.5,7.5,7.5,7.5,7.5,7.5,7.5,5,3.5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXT,,0,0.6,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
